model, Kirkjan, Tími árs, Sjónarhorn, Heildareinkunn, comment
GPT-5.1, 9, 10, 10, 29, "Myndin er mjög sannfærandi, kirkjan er teiknuð vel, frá réttu sjónarhorni. Bæði flugeldar og jólaljós gefa til kynna að um gamlárskvöld sé að ræða."
GROK, 7, 2, 3, 15, "Kirkjan er ágætlega vel teiknuð, en það vantar klukkuna til dæmis. Sjónarhornið er úr réttri átt en gatan er ólík skólavörðustíg. Myndin gæti verið tekin um sumartíma, frekar en gamlárskvöld."
META_AI, 7, 7, 7, 21, "Kirkjan er fín, hlutföllin ekki alveg rétt. Sjónarhornið er næstum rétt, en kirkjan snýr ekki rétt miðað við skólavörðustíg. Myndin er tekin um vetur, en ekki um nótt og engin merki um gamlárskvöld."
MISTRAL, 4, 9, 2, 15, "Kirkjan er einhverskonar nálgun að hallgrímskirkju. Sjónarhornið er úr réttri átt en svæðið er meira eins og torg frekar en Skólavörðustígur. Þetta gæti verið vetrarkvöld og það eru einhver ummerki um jól og flugelda."
QWEN3-MAX, 8, 7, 1, 16, "Kirkjan er sannfærandi. Hún er ekki rétt staðsett og það eru engin ummerki um Skólavörðustíg eða gamlárskvöld."
GEMINI, 7, 10, 10, 27, "Fyrir utan þetta long exposure, þá er myndin sannfærandi. Kirkjan er ekki alveg í réttum hlutföllum, en er tekin á réttum tíma og frá réttu sjónarhorni."
COPILOT, 10, 10, 10, 30, "Myndin er mjög sannfærandi. Kirkjan er rétt teiknuð, frá réttu sjónarhorni og á réttum tíma árs."
GPT-4o, 9, 10, 10, 29, "Myndin er mjög fín. Kirkjan er rétt teiknuð, fyrir utan klukkuna, og frá réttu sjónarhorni. Tíminn ársins er sýndur með jólaljósum og flugeldum."
GPT-5instant, 9, 10, 10, 29, "Myndin er mjög sannfærandi. Kirkjan er  vel teiknuð, frá réttu sjónarhorni og á réttum tíma árs."
IMAGEN-4, 5, 2, 7, 20, "Kirkjan er ekki alveg rétt teiknuð. Myndin gæti verið tekin fyrir framan Skólavörðustíg um sumarkvöld."
DALL-E, 4, 10, 7, 21, "Hér er mikill teiknimyndastíll. Kirkjan snýr ekki alveg rétt en er klárlega tekin um gamlárskvöld"
