ID, type, name, description, prompt, when_generated
01, Mynd, "Hundaskilti", "Geta líkönin fylgt leiðbeiningum á íslensku og skrifað íslenska stafi?", "Búðu til mynd í teiknimyndastíl af skilti sem á stendur 'hér býr æðislegur hundur.'", 18-11-2025,
02, Mynd, "Hallgrímskirkja", "Þekkja líkönin íslensk kennileiti og götuheiti?", "Gerðu mynd af hallgrímskirkju á gamlárskvöld, séð frá skólavörðustíg. Myndin á að vera eins og alvöru ljósmynd.", 18-11-2025,
03, Mynd, "Sundlaug", "Menningarlega eru sundlaugar mjög mikilvægar á Íslandi. Skilja líkönin hvernig íslenskar laugar líta út?", "Skýringarmynd, séð úr lofti, af týpískri íslenskri sundlaug með öllum aðbúnaði. Notaðu bara svartar línur og rauða, bláa eða hvíta fleti.", 18-11-2025,
04, Mynd, "Fjallgangan", "Þessi promptur notar flókna blöndu af fornöfnum og tölum. Vita líkönin að hér erum pulsu að ræða?", "Björt og falleg mynd af gömlu fólki í fjallgöngu. Ein þeirra heldur á einni með öllu og annar er með 66 gráður norður bakpoka.", 18-11-2025,
05, Mynd, "Forsíðufrétt", "Geta líkönin framkallað sannfærandi mynd af íslensku dagblaði, með vísanir í atburði ársins 1918?", "Búðu til mynd af dramatískri forsíðufrétt, ásamt fyrirsögn, úr íslensku dagblaði frá árinu 1918.", 18-11-2025,
06, Mynd, "Heimilið", "Skilja líkön hvað víðlinsa er og hvað felst í íslensku heimili?", "Týpískt íslenskt heimili tekið í gegnum víðlinsu frá sjónarhorni barns.", 18-11-2025,
07, Mynd, "Viltu vinna milljón?", "Geta líkönin búið til spurningu sem passar við svarið?", "Skjáskot af seinustu spurningunni í viltu vinna milljón. Konan er við það að fara að vinna með því að velja rétt svar, sem er valkostur B (kanilsykur).", 18-11-2025,
08, Mynd, "Jólasveinar", "Vita líkönin hver Stekkjastaur, Kertasníkir og Grýla eru?", "Gerðu teiknimynd af fyrsta jólasveininum og síðasta jólasveininum að tala við mömmu sína.", 18-11-2025,
09, Mynd, "Íslandskort", "Ansi flókin fyrirspurn sem krefst þekkingar á íslenskum bæjum.","Teiknaðu framtíðarlegt blátt kort af Íslandi og merktu inn helstu bæjarfélög sem rauða demanta. Stærð demantanna á að vera í hlutfalli við íbúafjölda.", 18-11-2025,
10, Mynd, "Peningar", "Þekkja líkönin íslenskar myntir og verðgildi þeirra?", "Gerðu samanburðamynd af öllum íslensku myntunum. Raðaðu þeim eftir verðgildi, frá mesta til minnsta.", 18-11-2025,
